region;province;property_id;property_type;postal_code;city_name;address;price;bedroom_count;livable_surface;total_surface;build_year;garage;peb_category
Flandre;Antwerpen;LLZS5;Appartment;8400;Oostende;Koningsstraat 20 / 0201;349950.0;3.0;95.0;95.0;1960.0;0;200
Flandre;Antwerpen;LMITX;House;2180;Ekeren;Statiestraat 37;379000.0;3.0;144.0;247.0;1966.0;0;183
Flandre;Antwerpen;LIS8E;Appartment;8710;Wielsbeke;Kasteeldreef 1;385000.0;;;1004.0;;0;
Flandre;Antwerpen;LLGEY;House;3620;Veldwezelt;Smisstraat 45;795000.0;5.0;524.0;756.0;2000.0;1;235
Flandre;Antwerpen;LJMLG;House;2800;Mechelen;Keizerstraat 68;209000.0;3.0;83.0;83.0;1850.0;0;227
Flandre;Antwerpen;LMJDK;Appartment;3271;Zichem;Ernest Claesstraat 67 / A2.04;335000.0;2.0;99.0;99.0;2025.0;0;
Flandre;Antwerpen;LK8BU;Appartment;3582;Koersel;Bosstraat 1;700000.0;;266.0;661.0;2015.0;1;
Flandre;Antwerpen;LLZUX;Appartment;3460;Bekkevoort;Hondstraatje 2;195000.0;;;1829.0;;0;
Flandre;Antwerpen;LI7UG;House;3600;Genk;Koning Boudewijnlaan 46;399000.0;3.0;500.0;484.0;1932.0;1;
Flandre;Antwerpen;LLFNZ;House;2520;Oelegem;Zandhovensteenweg 113;540000.0;6.0;414.0;14004.0;1971.0;1;728
Flandre;Antwerpen;LMJD4;House;8210;Veldegem;Leegveldstraat 12;474631.0;3.0;174.0;326.0;2025.0;0;
Flandre;Antwerpen;LI83H;House;3520;Zonhoven;Het Zant 4;285000.0;3.0;189.0;189.0;1975.0;0;729
Flandre;Antwerpen;LLFP8;Appartment;8670;Koksijde;Duinbergenstraat 6 / 0302;269000.0;2.0;72.0;72.0;;0;154
Flandre;Antwerpen;LLFDF;Appartment;3630;Mechelen-aan-de-Maas;Zandstraat 47 / 1;279000.0;3.0;146.0;146.0;2006.0;0;184
Flandre;Antwerpen;LKVO5;House;2340;Beerse;Hazenstraat 8;1100000.0;2.0;606.0;3180.0;1998.0;1;
Flandre;Antwerpen;LLZPF;Appartment;1150;Woluwe-Saint-Pierre;11;875000.0;;;715.0;;0;
Flandre;Antwerpen;LHKB0;House;2100;Deurne;Van Cortbeemdelei 375;349000.0;3.0;143.0;147.0;1930.0;1;442
Flandre;Antwerpen;LLZOU;Appartment;3800;Sint-Truiden;Leeuwerweg 45;145000.0;;;640.0;;0;
Flandre;Antwerpen;LH0AA;Appartment;3990;Peer;Oudestraat Parking;12500.0;;;;;0;
Flandre;Antwerpen;LMJCH;Appartment;3271;Zichem;Ernest Claesstraat 67 / A2.01;435000.0;3.0;129.0;129.0;2026.0;0;
Flandre;Antwerpen;LLZBN;House;8300;Duinbergen;Leeuwerikenlaan 19;1990000.0;4.0;430.0;430.0;1978.0;1;380
Flandre;Antwerpen;LMK27;Appartment;3620;Lanaken;Molenweideplein 64 / 2;389000.0;2.0;175.0;175.0;1996.0;1;135
Flandre;Antwerpen;LLZP9;House;2400;Mol;Lieven Heerstraat 21;699000.0;4.0;291.0;799.0;2008.0;0;98
Flandre;Antwerpen;LMJBT;House;8400;Stene;Zilverlaan 50 / 3.1;340000.0;3.0;168.0;107.0;2025.0;0;
Flandre;Antwerpen;LLGA0;House;3680;Neeroeteren;Bergerstraat 81C;397000.0;3.0;;513.0;2026.0;1;
Flandre;Antwerpen;LLZOV;Appartment;8560;Wevelgem;Kozakstraat 69 / c;125000.0;;;436.0;;0;
Flandre;Antwerpen;LGZFS;Appartment;2400;Mol;Ginderbroek 74;750000.0;;584.0;928.0;1965.0;0;108
Flandre;Antwerpen;LLZE4;House;8620;Nieuwpoort;Willem de Roolaan 18;339500.0;3.0;124.0;142.0;1919.0;0;220
Flandre;Antwerpen;L5F42;House;9300;Aalst;Valerius De Saedeleerstraat 97A;674900.0;2.0;900.0;900.0;1930.0;0;254
Flandre;Antwerpen;K4MOC;Appartment;3945;Kwaadmechelen;Staatsbaan - Lot 2 62 / A;125000.0;;;971.0;;0;
Flandre;Antwerpen;LJO52;Appartment;9300;Aalst;Geldhofstraat 116+;20000.0;;;;1950.0;1;
Flandre;Antwerpen;LK886;House;2200;Noorderwijk;Kijnigestraat 57;324000.0;3.0;139.0;1310.0;1975.0;1;477
