Code INS;Locality;Salary med/decla;Salary mean/hab;postcode
24048;Keerbergen;38 704;33 727;3140
24054;Kortenaken;34 953;25 961;3470
24055;Kortenberg;35 987;28 569;3071
24059;Landen;34 956;25 632;3404
24062;Louvain;32 461;26 429;3010
24066;Lubbeek;39 459;31 053;3210
24086;Oud-Heverlee;42 053;34 578;3053
24094;Rotselaar;38 637;29 868;3110
24104;Tervuren;36 419;30 601;3080
24107;Tirlemont;31 220;24 352;3300
24109;Tremelo;34 455;28 364;3120
24130;Léau;32 638;25 656;3440
24133;Linter;35 658;26 285;3350
24134;Montaigu-Zichem;33 460;25 764;3272
24135;Tielt-Winge;34 564;26 880;3390
24137;Glabbeek;37 617;28 252;3380
25000;Arrondissement de Nivelles;31 699;26 736;
25005;Beauvechain;34 648;27 431;1320
25014;Braine-l’Alleud;32 446;26 956;1428
25015;Braine-le-Château;32 298;26 708;1440
25018;Chaumont-Gistoux;34 477;30 527;1325
25023;Court-Saint-Etienne;32 134;25 875;1490
25031;Genappe;33 072;26 971;1472
25037;Grez-Doiceau;33 076;28 605;1390
25043;Incourt;33 574;26 700;1315
25044;Ittre;32 152;27 667;1461
25048;Jodoigne;29 901;24 876;1370
25050;La Hulpe;31 986;28 333;1310
25068;Mont-Saint-Guibert;32 884;27 638;1435
25072;Nivelles;30 703;26 404;1400
25084;Perwez;32 038;26 031;1360
25091;Rixensart;32 087;28 513;1332
25105;Tubize;28 894;21 128;1480
25107;Villers-la-Ville;34 669;26 649;1495
25110;Waterloo;33 267;29 727;1410
25112;Wavre;30 785;26 292;1300
25117;Chastre;35 024;27 099;1450
25118;Hélécine;32 969;24 055;1357
25119;Lasne;34 046;34 116;1380
25120;Orp-Jauche;32 461;25 211;1350
25121;Ottignies-Louvain-la-Neuve;28 918;24 735;1348
25122;Ramillies;33 132;25 341;1367
25123;Rebecq;30 415;23 369;1430
25124;Walhain;34 709;27 945;1457
30000;Province de Flandre occidentale;31 169;24 438;
31000;Arrondissement de Bruges;31 876;26 557;
31003;Beernem;33 516;25 367;8730
31004;Blankenberge;27 530;23 581;8370
31005;Bruges;31 418;25 820;8200
31006;Damme;33 467;26 856;8340
31012;Jabbeke;35 905;27 352;8490
31022;Oostkamp;34 794;25 975;8020
31033;Torhout;32 243;24 186;8820
31040;Zedelgem;35 082;25 910;8210
31042;Zuienkerke;34 100;26 355;8377
31043;Knokke-Heist;30 679;33 730;8300
32000;Arrondissement de Dixmude;30 995;22 645;
32003;Dixmude;30 120;22 618;8600
32006;Houthulst;30 594;22 057;8650
32010;Koekelare;31 631;23 125;8680
32011;Kortemark;32 254;22 884;8610
32030;Lo-Reninge;29 634;22 442;8647
33000;Arrondissement d’Ypres;30 337;22 538;
33011;Ypres;30 247;23 309;8902
33016;Messines;27 285;18 444;8957
33021;Poperinge;29 780;22 029;8972
33029;Wervik;30 024;21 672;8940
33037;Zonnebeke;32 299;23 177;8980
33039;Heuvelland;29 715;21 813;8953
33040;Langemark-Poelkapelle;31 428;23 121;8920
33041;Vleteren;29 583;21 619;8640
34000;Arrondissement de Courtrai;31 733;23 807;
34002;Anzegem;34 692;25 558;8572
34003;Avelgem;31 716;23 664;8583
34009;Deerlijk;34 420;24 667;8540
34013;Harelbeke;32 803;23 467;8531
34022;Courtrai;30 225;23 913;8501
34023;Kuurne;31 787;22 934;8520
34025;Lendelede;33 300;24 254;8860
34027;Menin;28 688;21 110;8930
34040;Waregem;32 441;24 745;8792
34041;Wevelgem;33 411;24 042;8560
34042;Zwevegem;33 731;24 820;8553
34043;Espierres-Helchin;28 863;22 424;8587
35000;Arrondissement d’Ostende;29 514;24 087;
35002;Bredene;31 822;24 722;8450
35005;Gistel;32 403;24 202;8470
35006;Ichtegem;32 284;23 247;8480
35011;Middelkerke;29 098;25 076;8433
35013;Ostende;27 870;23 099;8400
35014;Oudenburg;33 049;24 337;8460
35029;De Haan;30 976;27 934;8420
36000;Arrondissement de Roulers;31 355;23 365;
36006;Hooglede;33 452;24 269;8830
36007;Ingelmunster;32 332;23 596;8770
36008;Izegem;31 183;23 514;8870
36010;Ledegem;32 302;23 434;8880
36011;Lichtervelde;33 808;24 133;8810
36012;Moorslede;31 806;22 906;8890
36015;Roulers;30 689;23 217;8800
36019;Staden;31 037;22 591;8840
37000;Arrondissement de Tielt;32 182;23 832;
37002;Dentergem;32 504;24 037;8720
37007;Meulebeke;31 697;23 217;8760
37010;Oostrozebeke;31 982;23 409;8780
37011;Pittem;32 861;23 342;8740
37012;Ruiselede;33 529;24 626;8755
37015;Tielt;31 559;23 802;8700
37017;Wielsbeke;32 380;23 443;8710
37018;Wingene;32 667;24 171;8750
37020;Ardooie;31 898;24 571;8850
38000;Arrondissement de Furnes;30 150;27 165;
38002;Alveringem;29 819;22 095;8690
38008;La Panne;28 310;25 272;8660
38014;Koksijde;32 737;32 288;8670
38016;Nieuport;29 048;25 502;8620
38025;Furnes;29 551;23 577;8630
40000;Province de Flandre orientale;32 558;25 366;
41000;Arrondissement d’Alost;32 863;25 144;
41002;Alost;31 644;24 428;9310
41011;Denderleeuw;32 587;23 691;9472
41018;Grammont;31 466;23 956;9500
41024;Haaltert;34 971;26 231;9451
41027;Herzele;35 002;26 394;9551
41034;Lede;34 545;26 447;9340
41048;Ninove;31 620;24 234;9406
41063;Sint-Lievens-Houtem;35 687;27 314;9520
41081;Zottegem;34 406;26 888;9620
41082;Erpe-Mere;34 932;26 667;9420
42000;Arrondissement de Termonde;32 789;25 415;
42003;Berlare;32 921;25 686;9290
42004;Buggenhout;35 316;27 109;9255
42006;Termonde;32 054;25 119;9200
42008;Hamme;31 312;24 146;9220
42010;Laarne;35 333;28 252;9270
42011;Lebbeke;33 648;25 532;9280
42023;Waasmunster;35 650;28 549;9250
42025;Wetteren;31 819;24 816;9230
42026;Wichelen;35 067;26 187;9260
42028;Zele;31 142;23 109;9240
43000;Arrondissement d’Eeklo;32 061;24 207;
43002;Assenede;34 475;25 904;9960
43005;Eeklo;29 257;23 158;9900
43007;Kaprijke;34 188;26 378;9970
43010;Maldegem;32 650;24 445;9992
43014;Sint-Laureins;33 033;25 158;9982
43018;Zelzate;31 627;22 138;9060
44000;Arrondissement de Gand;32 459;26 011;
44012;De Pinte;42 336;32 715;9840
44013;Destelbergen;36 767;29 512;9070
44019;Evergem;35 302;26 160;9940
44020;Gavere;36 205;28 232;9890
44021;Gand;29 665;24 043;9041
44034;Lochristi;35 500;28 256;9080
44040;Melle;37 465;27 810;9090
44043;Merelbeke;37 167;29 454;9820
44045;Moerbeke;34 779;26 082;9180
44048;Nazareth;35 092;27 787;9810
44052;Oosterzele;37 846;28 644;9860
44064;Sint-Martens-Latem;37 433;36 091;9831
44073;Wachtebeke;34 694;25 658;9185
44081;Zulte;33 863;25 301;9870
44083;Deinze;33 793;26 663;9850
44084;Aalter;34 457;27 103;9910
44085;Lievegem;34 644;26 162;9920
45000;Arrondissement d’Audenarde;32 551;25 020;
45035;Audenarde;32 769;25 757;9700
45041;Renaix;27 570;19 660;9600
45059;Brakel;34 061;25 918;9661
45060;Kluisbergen;33 825;25 186;9690
45061;Wortegem-Petegem;36 451;27 610;9790
45062;Horebeke;34 928;28 404;9667
45063;Lierde;36 139;26 170;9571
45064;Maarkedal;34 537;27 824;9681
45065;Zwalin;35 644;27 711;9630
45068;Kruisem;35 295;27 272;9772
46000;Arrondissement de Saint-Nicolas;32 458;24 732;
46003;Beveren;34 615;27 285;9130
46013;Kruibeke;33 583;26 203;9150
46014;Lokeren;32 241;23 931;9160
